10 MM - II,20 MM - II,CEMENT OPC GRADE 43,CEMENT OPC GRADE 53,CEMENT PPC,CRUSHED STONE SAND II,FLY ASH,GGBS,GRADE,NATURAL SAND-COARSE,NATURAL SAND-FINE,RMC ADMX - HIGH PC,RMC ADMX - MID PC,SLUMP / FLOW,WATER,W/C,BLEND_OPC+GGBS,BLEND_OPC+PFA,BLEND_OPC+PFA+GGBS,BLEND_PPC,BLEND_PPC+GGBS,BLEND_PPC+PFA,BLEND_PPC+PFA+GGBS,DISTANCE_Medium,DISTANCE_Short,SPECIFIED SLUMP_175,SPECIFIED SLUMP_225,SPECIFIED SLUMP_25 ± 15,SPECIFIED SLUMP_75
819.0,442.857,0.0,0.0,154.571,0.0,145.857,0.0,15,744.714,0.0,0.0,1.05,120,152.689,0.5082382467679444,0,0,0,0,0,1,0,1,0,0,0,0,0
600.0,594.0,0.0,0.0,254.857,0.0,133.714,0.0,25,690.857,0.0,0.0,1.784,140,153.446,0.394898229667165,0,0,0,0,0,1,0,1,0,0,0,0,0
625.111,609.556,0.0,220.889,0.0,0.0,104.444,71.556,30,720.667,0.0,0.0,2.1,140,149.847,0.3775539256567957,0,0,1,0,0,0,0,1,0,0,0,0,0
613.429,609.714,0.0,165.143,0.0,0.0,98.571,66.143,25,750.143,0.0,0.0,1.641,140,134.909,0.4089923815471553,0,0,1,0,0,0,0,1,0,0,0,0,0
594.714,595.714,0.0,0.0,255.857,0.0,133.429,0.0,25,686.429,0.0,0.0,1.791,140,146.73,0.3769208242782941,0,0,0,0,0,1,0,1,0,0,0,0,0
578.0,586.286,0.0,0.0,255.143,0.0,134.714,0.0,25,707.857,0.0,0.0,1.296,120,148.449,0.3807780801678565,0,0,0,0,0,1,0,1,0,0,0,0,0
610.667,605.667,0.0,220.167,0.0,0.0,103.167,69.333,30,728.0,0.0,0.0,2.102,170,143.38,0.3651440024244461,0,0,1,0,0,0,0,1,0,0,0,0,0
370.286,816.857,0.0,296.571,0.0,0.0,99.0,0.0,30,741.571,0.0,0.0,1.687,120,147.449,0.3727497718487958,0,1,0,0,0,0,0,0,0,0,0,0,0
598.571,592.714,0.0,164.714,0.0,0.0,99.143,66.143,25,754.571,0.0,0.0,1.306,120,153.583,0.4654030303030303,0,0,1,0,0,0,0,1,0,0,0,0,0
1251.0,0.0,0.0,147.0,0.0,0.0,90.0,58.0,15,809.0,0.0,0.0,0.0,120,89.95,0.3049152542372882,0,0,1,0,0,0,0,0,1,0,0,1,0
